         9074922 function calls (8816296 primitive calls) in 29.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4367    0.010    0.000    0.016    0.000 controlflow.py:95(add_node)
      123    0.010    0.000    0.043    0.000 analysis.py:118(compute_dead_maps)
     8436    0.010    0.000    0.010    0.000 values.py:554(_get_name)
     4055    0.010    0.000    0.027    0.000 types.py:30(__ne__)
     2704    0.010    0.000    0.058    0.000 base.py:368(insert_func_defn)
     6237    0.010    0.000    0.010    0.000 {built-in method sirf._pyiutilities.executionStatus}
2960/2900    0.010    0.000    0.024    0.000 values.py:455(_get_reference)
     2113    0.010    0.000    0.050    0.000 types.py:77(__call__)
        5    0.010    0.002    0.011    0.002 __init__.py:709(_raw_device_count_nvml)
     6126    0.010    0.000    0.010    0.000 {built-in method numpy.zeros}
      996    0.010    0.000    0.030    0.000 templates.py:880(make_overload_template)
     2776    0.010    0.000    0.015    0.000 errors.py:812(new_error_context)
      140    0.010    0.000    0.064    0.000 context.py:592(resolve_overload)
     6554    0.010    0.000    0.013    0.000 _utils.py:71(_stringify_metadata)
     6630    0.010    0.000    0.010    0.000 cpu_options.py:123(<genexpr>)
      160    0.009    0.000    0.027    0.000 numeric.py:2330(within_tol)
     7549    0.009    0.000    0.009    0.000 {method 'insert' of 'list' objects}
2555/2253    0.009    0.000    0.039    0.000 misc.py:52(unliteral)
     3960    0.009    0.000    0.014    0.000 ir.py:255(__hash__)
      486    0.009    0.000    0.387    0.001 values.py:1174(<listcomp>)
      480    0.009    0.000    0.619    0.001 Gradients.py:124(direct)
      374    0.009    0.000    0.009    0.000 {built-in method torch.sum}
     3234    0.009    0.000    0.013    0.000 registry.py:96(__getitem__)
     2283    0.009    0.000    0.038    0.000 ffi.py:327(close)
     7140    0.009    0.000    0.009    0.000 {method 'acquire' of '_thread.RLock' objects}
     5418    0.009    0.000    0.009    0.000 {built-in method sys._getframe}
     6416    0.009    0.000    0.009    0.000 ffi.py:132(__getattr__)
      700    0.009    0.000    0.009    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       31    0.009    0.000    0.103    0.003 parfor.py:4673(_update_parfor_get_setitems)
      667    0.009    0.000    0.016    0.000 cpu_options.py:115(<dictcomp>)
3012/2934    0.009    0.000    0.073    0.000 manager.py:29(lookup)
      649    0.009    0.000    0.040    0.000 instructions.py:533(__init__)
      812    0.009    0.000    2.593    0.003 STIR.py:541(get_uniform_copy)
     4583    0.009    0.000    0.009    0.000 _internal.py:304(data)
     2196    0.009    0.000    0.040    0.000 ffi.py:370(__del__)
      996    0.008    0.000    0.084    0.000 extending.py:129(decorate)
      303    0.008    0.000    0.037    0.000 inspect.py:2280(_signature_from_function)
     7140    0.008    0.000    0.008    0.000 {method 'release' of '_thread.RLock' objects}
     2020    0.008    0.000    0.013    0.000 controlflow.py:601(push_state)
      970    0.008    0.000    0.054    0.000 builder.py:769(store)
     6764    0.008    0.000    0.008    0.000 {built-in method numpy.asanyarray}
     1728    0.008    0.000    0.008    0.000 __init__.py:509(cast)
      474    0.008    0.000    0.008    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
  893/887    0.008    0.000    0.031    0.000 {built-in method builtins.__build_class__}
      932    0.008    0.000    0.045    0.000 context.py:542(_rate_arguments)
     2914    0.008    0.000    0.020    0.000 target_extension.py:14(__getitem__)
3346/1419    0.008    0.000    0.010    0.000 packer.py:144(rec)
      311    0.008    0.000    0.035    0.000 instructions.py:68(__init__)
     6775    0.008    0.000    0.008    0.000 ir.py:275(__contains__)
     1662    0.008    0.000    0.139    0.000 instructions.py:666(__init__)
     6225    0.008    0.000    0.008    0.000 {method 'encode' of 'str' objects}
     1989    0.008    0.000    0.014    0.000 ir_utils.py:364(replace_var_callback)
     2232    0.008    0.000    0.013    0.000 typeinfer.py:911(__getitem__)
     1794    0.008    0.000    0.072    0.000 initialise.py:74(wrap_stream)
     1794    0.008    0.000    0.038    0.000 ansitowin32.py:43(isatty)
     1893    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1425    0.008    0.000    0.020    0.000 typeconv.py:40(check_compatible)
